面积（平方米）,价格（元/月）,类别
88.5,550,0
73.31,2300,0
161,6300,2
60,1900,0
53,1200,0
89.5,550,0
86,1200,0
80,1800,0
40,1000,0
45,1400,0
63,1100,0
50,1500,0
41,1200,0
118.35,1900,0
146,9500,1
53.87,1200,0
59,1450,0
35,1600,0
44,2800,0
61,1800,0
80.48,1000,0
65.12,1500,0
39,2100,0
42,1300,0
97,1700,0
42,800,0
48.22,1400,0
39,800,0
95,2500,0
41,1500,0
47.31,2500,0
53,1400,0
81.7,1300,0
59,1000,0
70,1350,0
89,1800,0
30,1500,0
80,2000,0
80,1200,0
36,1600,0
32,1000,0
41,1200,0
174,12000,1
50,1600,0
95,1250,0
30,1800,0
32.2,1800,0
60,1700,0
35,2000,0
92,2600,0
58.89,2600,0
30,800,0
118,3800,2
46,1600,0
30,1900,0
49,1300,0
60.58,1400,0
46,700,0
67,1800,0
78,1600,0
96,2100,0
21.89,1500,0
92,700,0
43,1700,0
45.14,1800,0
68.67,1500,0
53,1850,0
24.93,1700,0
40,750,0
34.02,1400,0
52,1250,0
52,800,0
83,700,0
45,1300,0
94.13,1550,0
40,1650,0
78,650,0
38.79,2100,0
57.19,3700,2
56.01,2000,0
60.71,1500,0
37.99,1400,0
60.17,2900,0
101.45,2600,0
120,1900,0
59.95,1700,0
41.69,1800,0
18.82,1300,0
60,1500,0
78.5,1400,0
25,500,0
30,1400,0
35,1300,0
51.2,2400,0
62,3300,2
61.22,1550,0
178,14000,1
121,6200,2
59.82,2600,0
90,3600,2
100,2800,0
73,1600,0
83,1000,0
90,4500,2
61,1000,0
98.64,1600,0
63.99,1200,0
37,1200,0
52,1550,0
25,1900,0
65,1000,0
87,2600,0
88,800,0
30,1200,0
35,1200,0
92.78,1600,0
105.6,5000,2
51,1700,0
100,1156,0
58,1533,0
107,8200,2
41,1400,0
63,850,0
100,4400,2
51.65,4600,2
125,1700,0
77,2300,0
30,1100,0
116.97,1600,0
64,1500,0
45,1300,0
30,1300,0
60.96,5200,2
28,1200,0
48,2000,0
58,1300,0
93,800,0
108,4900,2
67.45,1700,0
92.51,2400,0
60,2250,0
59,1850,0
30,1100,0
42,2000,0
52.17,2100,0
53,1555,0
40,1150,0
89,1300,0
132,2600,0
65,1400,0
56,1300,0
56,2600,0
67.82,1400,0
144,4300,2
42.34,1600,0
49.65,1500,0
36,2500,0
85,1500,0
130,1400,0
197,6000,2
80,4300,2
137.63,5400,2
30.82,2400,0
114,2500,0
84,2000,0
75,900,0
125,5000,2
34,1545,0
49,2100,0
40,900,0
64,1300,0
82.99,1500,0
36,1600,0
35,999,0
40,1600,0
57.57,3500,2
34.67,2000,0
260,17500,1
62,600,0
46,2600,0
57.26,1300,0
72,1800,0
48.04,1600,0
84,1133,0
59,2600,0
114,1800,0
58,2900,0
19,1299,0
72.14,1900,0
44,1800,0
50.1,1300,0
60,2500,0
100,1700,0
80,2300,0
55.07,1100,0
83,1600,0
110,5000,2
96,3600,2
55,1100,0
80,1600,0
90,2900,0
65,4500,2
63.11,1900,0
80.29,2000,0
55,1700,0
89,2000,0
84,1700,0
89,1800,0
120,4000,2
95.13,4500,2
52.66,1500,0
29,1250,0
62,2600,0
64,2700,0
63,1800,0
76.21,4500,2
49,2400,0
57,1100,0
65,1000,0
98,2700,0
63.83,2200,0
89,2500,0
24.91,1500,0
9,1000,0
146,3200,2
93,5000,2
57,2700,0
76.44,1700,0
33.99,2500,0
55.08,1700,0
140,3200,2
78,4500,2
78.88,1500,0
62,1400,0
123,5200,2
26,1500,0
106,3100,2
86,1000,0
40,900,0
89,1100,0
65.92,1700,0
60,1500,0
46.28,2600,0
80,1600,0
83,600,0
35,2000,0
63,1500,0
40.96,2200,0
80,900,0
79.18,1500,0
46,1200,0
85,1600,0
75,1500,0
42,3500,2
40.12,1400,0
50,2500,0
64,1600,0
93.07,2600,0
74,1100,0
40.3,1000,0
39.87,2100,0
77.98,1800,0
92.22,2300,0
38,2000,0
93,1100,0
50,2800,0
35,2300,0
22,1500,0
42,2000,0
32,2000,0
66.55,4000,2
54.2,2600,0
50,1600,0
100,5000,2
55,1900,0
86,1400,0
64,2900,0
101.2,2500,0
41,2000,0
77.9,2600,0
385.58,40000,1
106,3800,2
41.86,1200,0
109,5100,2
101.74,5500,2
42.09,1700,0
26,2300,0
38,1009,0
180,5000,2
30,1100,0
32,1099,0
114.53,4100,2
132,1600,0
63,1350,0
90.23,6800,2
68,1300,0
45,1400,0
30,2100,0
90,4500,2
69.36,1600,0
53.39,1400,0
40,1200,0
30,1200,0
48.78,2000,0
40,1250,0
36,1800,0
25,2000,0
126.43,4400,2
33.16,1200,0
65,1700,0
41,1200,0
131,5300,2
77.28,2000,0
65,2065,0
65,2020,0
83.37,3500,2
50,2300,0
57,2800,0
80,2400,0
53.1,1600,0
76,2000,0
40,1200,0
90.97,2400,0
90,1500,0
105,3600,2
87,2700,0
120,2300,0
66,2600,0
64.43,2000,0
89,2000,0
118,3600,2
91.16,1800,0
85,2300,0
85,2300,0
90,1300,0
57,2600,0
96,4800,2
30,1000,0
138,2500,0
76.28,2800,0
76,4000,2
103,2400,0
45,2600,0
88.86,2600,0
63,1900,0
89,2800,0
90,1800,0
110,3500,2
47,1000,0
53.09,1500,0
43,900,0
62,1200,0
133.75,4200,2
76.41,3800,2
108.68,3000,0
37.3,2000,0
64,1300,0
93.8,1000,0
56,1200,0
93,3500,2
90,1800,0
76.09,2600,0
132,8500,2
94.6,2200,0
42.42,1400,0
34.11,2150,0
70,1900,0
145,2400,0
120.72,2700,0
80,900,0
170,1999,0
27,1800,0
83,2800,0
109,900,0
40,1200,0
58.87,2000,0
66,4000,2
62.83,1250,0
106,3800,2
41.81,1400,0
59,1300,0
60,800,0
40,1400,0
70,1300,0
40.2,1800,0
32,1300,0
63,1300,0
110,2000,0
72.6,1300,0
77,1000,0
53.49,2000,0
70,2100,0
53.87,1500,0
80,2200,0
69.82,1300,0
60,2300,0
30,1300,0
55,2400,0
