面积,价格,所在街道,prediction
30,1250,"中北大道,近万卉路",0
72,2150,红旗南路,4
46,2300,"华宁道,近盈江路",4
90,1600,永进路628号,0
30,1300,"景茗道,近微山南路",0
43.6,1500,环湖中路30号,0
73,1300,胡家园街,0
45,2900,"纪明家园路,近丽江道",4
34,2400,"围堤道,近白云路",4
80,2400,大沽南路936号,4
104.96,3600,新开路,4
38.27,1700,碧祥路,0
83,1800,外环西路,0
63,1400,赵新路12号,0
30,1550,卫国道157号,0
50,1500,"古北道,近雁门路",0
120,2800,宜白路,4
91.7,3800,"复兴路,近芥园道",3
66,3800,围堤道,3
84.11,1650,外环西路,0
121.3,2000,小淀路,0
40,900,果园东路6号,0
31,2000,广开新街21号,0
80.44,1400,天嘉湖大道,0
41.08,2600,广开大街10号,4
115,900,联盟大街12号,0
28,1700,昆明路70号,0
55,1800,南仓道,0
67,2200,"东五道,近中环东路",4
194,12000,宾水西道,1
51.59,1500,泽润路,0
69,4000,"隆昌路,近爱国道",3
37,1600,五马路122号,0
145,2100,和旭路,4
62,1500,外环西路,0
89,2400,"福明路,近雅馨路",4
76.66,1300,新景道,0
37,2300,南丰路55号,4
45,2100,"解放南路,近浯水道",4
37,2000,"围堤道,近白云路",0
65,1000,宣惠路,0
122,1600,春熙道,0
92,5500,"八纬路,近十五经路",3
76,1100,青沙路,0
100,4000,领世环路,3
39.02,2000,广开大街10号,0
28.32,1600,南丰路138号,0
86,550,津围公路,0
53,1200,泰来道,0
40,2100,红旗南路,4
58.53,1500,育红路7号,0
30,600,104国道,0
59,1400,解放路668号,0
50,1600,雅致道,0
50,780,三经路,0
43,1000,中学西路,0
39.77,1450,黄纬路1号,0
78.46,1450,电传路,0
60,2000,"佳宁道,近辰昌路",0
76,1500,北医道,0
30,850,"滨湖路,近新平路",0
90,750,汉王路,0
79.64,2000,"龙门道,近辰旺路",0
54,1100,延吉道,0
65,700,双丰路,0
22.68,2200,黄河道60号,4
122,2800,红星路14号,4
58.45,1600,岷江路,0
44.92,900,果园北道36号,0
82,1500,顺境路212号,0
110,800,南关大街,0
54.2,1750,中纺前街38号,0
80,1800,幸福道,0
40,900,泰来道,0
33,1500,卫津南路37号,0
41.2,1100,万年桥北路,0
135,1700,小街新苑路,0
56.85,1100,果园中道,0
42.69,900,友谊南路,0
41,1350,辰水道1号,0
77.11,1000,"红旗路,近津沽大街",0
60,1700,东江道11号,0
28,1400,成林道,0
30,1208,工一号路,0
40,1300,昌凌路,0
46.9,1800,楚雄道77号,0
101,5200,新兴路66号,3
60,1800,东江道8号,0
47.49,1900,艳阳路,0
47.95,3000,园荫道24号,4
66,4700,"三马路,近南开二纬路",3
90.99,2300,"祁连路,近彩丽环路",4
60,1800,艺林路,0
126,2000,常德道,0
64.33,1800,"辰兴路,近南仓道",0
40,2600,林苑道36号,4
55,1200,胜利街872号,0
88,2800,梨双公路,4
52.31,1669,"律纬路,近三马路",0
30,1300,付村路,0
40,1350,辰水道1号,0
30,1400,卫国道157号,0
83.52,6400,琳科西路,3
70,1500,向阳北街,0
57.31,2000,苑东路,0
40,1100,世纪大道80号,0
45,2600,福建路84号,4
22.35,2600,解放南路291号,4
88,1700,梨双公路,0
65,900,津同公路151号,0
60,2000,友爱东道,0
104,3300,时尚西路19号,4
38,1900,湖镜道1号,0
89,600,建设路,0
50,3800,南京路239号,3
45,1350,楚雄西道,0
37.66,1400,国宜道,0
36,1700,"光荣道,近丁字沽二号路",0
71.94,1300,爱贤道,0
30,1600,"华宁道,近盈江路",0
51.08,1698,黄纬路32号,0
95,1600,津涞公路,0
44.94,1500,津塘路,0
61.27,3200,"华苑路,近锦环道",4
43,900,友谊南路,0
32,1500,红旗南路,0
63.95,1800,"辰兴路,近南仓道",0
20.71,1200,万东路,0
35.47,2300,黄河道60号,4
58.08,1700,"渌水道,近桐林路",0
23,1600,建国道92号,0
37.32,1700,大沽南路,0
53.93,1600,"丁字沽三号路,近绥中路",0
39,800,迎宾街102号,0
45,900,友谊南路,0
86,1400,付营路,0
43,1600,"佳宁道,近辰昌路",0
82,900,政和路,0
49.45,1400,"三千路,近宜白路",0
51.5,1500,双水道,0
70,4500,"西马路,近鼓楼西街",3
102,2000,"三千路,近宜白路",0
56.77,750,"昌盛路,近天山路",0
42.86,1550,鞍山西道307号,0
60,1300,河北路3,0
108.76,3800,卫津路75号,3
104,2000,海泰南北大街,0
60,850,寿昌路,0
61.49,1300,果园北道3号,0
90,1400,津塘公路,0
33,1800,"宾馆南道,近宾馆西路",0
65,1400,103省道,0
71,1300,欣杨道,0
27,1650,"泗水道,近微山路",0
30,900,京福公路,0
60,2500,红旗南路,4
68,1300,顺境北路56号,0
60,1900,黑牛城道219号,0
48.7,2000,"农裕大街,近复康路",0
100,3300,环湖中路,4
35,2100,南丰路138号,4
43,1400,"新港三号路,近港医路",0
