FID,NAME,KIND
524,天津市直机关幼儿园,A701
525,天津市红星职业中专,A708
526,北辰中专,A708
527,梁头中心小学,A702
528,双街镇第一中心幼儿园,A701
529,霍庄子小学幼儿园,A701
530,石各庄镇委员会党校,A700
531,育才幼儿园,A701
532,真爱幼儿园,A701
533,石各庄镇第二中心小学,A702
534,中心庄中学,A703
535,天津市蓟县大堼上中学,A703
536,枣林小学,A702
537,大王古庄镇第二中心小学,A702
538,北闸口中心小学,A702
539,天津市塘沽区育才中学,A703
540,葛沽实验小学,A702
541,西小良中心小学,A702
542,天津市武清区成人中专,A708
543,当城中学,A703
544,塘沽五幼,A701
545,上马台镇初级中学,A703
546,上马台小月亮幼儿园,A701
547,渤海石油第一小学,A702
548,徐庄小学,A702
549,河西务镇扶头中心小学,A702
550,杨村第七中学,A703
551,天津师大学前教育学院武清附属幼儿园,A701
552,辛口镇中心小学,A702
553,大刘堡完全小学,A702
554,宝坻区尔王庄中心小学,A702
555,王庆坨镇初级中学,A703
556,天津大港实验中学,A703
557,天津市大港实验小学,A702
558,天津市东堤头中学,A703
559,天津渤海职业技术学院北校区,A700
560,津南区少年儿童体育学校,A709
561,天津大港官港学校,A703
562,武清区陈咀镇中学,A703
563,艾蒲庄小学,A702
564,安光希望小学,A702
565,大良镇中心小学,A702
566,钢管公司小学,A702
567,天津市东丽区华明学校,A703
568,天津市大港区第一幼儿园,A701
569,东羽小学,A702
570,河西务镇中心幼儿园,A701
571,东堤头小学,A702
572,沐钰幼儿园,A701
573,天津市小东庄中学,A703
574,塘沽区职工中学,A703
575,塘沽区贻成幼儿园,A701
576,精通学院,A708
577,西关回民小学,A702
578,天津市塘沽区河头小学,A702
579,兴华里学校,A703
580,豆张庄乡茨洲中心小学,A702
581,国家人事部职业经理资质认证天津培训中心,A709
582,新东方学校第二教学区,A709
583,天津市田家炳中学,A703
584,和平十三幼,A701
585,天津市第二十四中学,A703
586,英之辅教育语言培训中心,A709
587,河北区第二实验小学,A702
588,天津市和平区民族幼儿园,A701
589,河东区实验小学分校,A702
590,韩家墅小学,A702
591,霍元甲文武学校新未来幼儿园,A701
592,天津台球学校,A709
593,南开实验学校小学部,A702
594,卓美幼教,A701
595,新东方学校河东教学区,A709
596,天津市河北区启智学校,A709
597,河北区特殊教育中心,A709
598,小天使儿童活动乐园,A709
599,天津生物工程职业技术学院河北校区,A700
600,东安驾驶职业培训学校,A706
601,瑞益民族幼儿园,A701
602,北仓闫庄驾校,A706
603,天津工艺美术学校,A708
604,新村幼儿园,A701
605,河西区特殊教育中心,A709
606,河东区青少年业余体育学校,A709
607,天津市计算机信息管理专修学院,A700
608,爱心幼儿园,A701
609,华英星晨幼儿园,A701
610,南开现代管理培训学校,A709
611,天津市第一轻工业学校增光道校区,A708
612,天津市第二南开中学南门,A703
613,苍园小学,A702
614,天津城市建设管理职业技术学院南门,A700
615,天津市河西区湘江道小学,A702
616,天津市北门东中学南校区,A703
617,南开区第二十四幼儿园,A701
618,前园小学,A702
619,天津师范附小幼儿园,A701
620,河西区第二十二幼儿园分园,A701
621,斯波泰克高级技校,A708
622,洋洋教育,A709
623,宁发实验幼儿园,A701
624,温馨幼儿园,A701
625,连云路小学寄宿部,A702
626,天津市东丽区丽泽小学,A702
627,英孚教育,A709
628,津工驾校,A706
629,中央财经大学继续教育学院天津函授站,A709
630,南开十八幼,A701
631,世纪星幼儿园,A701
632,天津师范大学第三附属小学,A702
633,河西区业余体育学校,A709
634,中国人民大学继续教育学院天津分院,A700
635,小蝌蚪幼儿园,A701
636,天津三十二中,A703
637,南开实验学校安华里幼儿部,A701
638,五彩路幼儿园,A701
639,居华里幼儿园云华园,A701
640,天津·大港特殊教育学校,A709
641,西康路小学分校,A702
642,天津市东丽区行政学校,A709
643,天津市大港区第三幼儿园,A701
644,河西区科普培训学校,A709
645,金摇篮幼儿园,A701
646,天津电大开放教育学院滨海分院,A700
647,上海道小学四号路校区,A702
648,天津石油化工公司委员会党校,A709
649,阳光文化艺术培训学校,A709
650,师大二附小分校,A702
651,大港区第四幼儿园,A701
652,塘沽区农业机械化学校,A709
653,华夏奇才幼儿园,A701
654,徐州道小学,A702
655,天津农学院成人教育学院,A709
656,天津杰普逊国际飞行学院,A709
657,英超艺术幼儿园,A701
658,天津市大港区胜利教育中心,A709
659,西青区南河镇中心幼儿园,A701
660,世纪星双语幼儿园,A701
661,津报职业培训学校,A709
662,大港区海滨第五学校,A702
663,东方之星,A701
664,天津市大港区第五中学,A703
665,天津台商希望小学,A702
666,金宝贝幼儿园,A701
667,塘沽区新港第二小学,A702
668,津南二幼,A701
669,天津市华苑职业学校,A708
670,天津市农业广播电视学校宁河县分校,A709
671,北苑幼儿园,A701
672,渤化集团职工中专学校,A708
673,天津海运职业学院,A700
674,蓝翔职业技能培训学校,A708
675,滨海智星实验幼儿园,A701
676,小站新心幼儿园,A701
677,天津轻工职业技术学院,A700
678,五美城中心小学,A702
679,塘沽区教育局党校,A700
680,大港油田集团公司老年大学,A709
681,天津市汉沽区第三幼儿园,A701
682,新东方学校塘沽教学区,A709
683,天津市新闻出版技术学校,A708
684,大港油田实验中学北门,A703
685,团结幼儿园,A701
686,汉沽区农业机械技术学校,A708
687,汉沽区劳动职业技术学校,A708
688,小站第三小学,A702
689,塘沽六幼惠安里园区,A701
690,塘沽老年大学,A709
691,塘沽社区学院,A709
692,开心幼儿园,A701
693,领航双语幼儿园,A701
694,西青区农业机械化技校,A709
695,天津市塘沽区工农村中学,A703
696,天津塘沽第一职业中专,A708
697,塘沽区委老干部党校,A700
698,塘沽一幼福州道园区,A701
699,天津滨海职业学院南门,A700
700,浙江路小学福州道校区,A702
701,莱茵阳光双语幼儿园,A701
702,运输幼儿园,A701
703,东方金子塔儿童潜能培训学校,A709
